lat,lon,elevation,time
55.730864000,13.213692000,72.1,2016-07-21T15:04:59Z
55.730963000,13.213711000,72.0,2016-07-21T15:05:03Z
55.731069000,13.213734000,72.0,2016-07-21T15:05:06Z
55.731153000,13.213752000,72.0,2016-07-21T15:05:09Z
55.731246000,13.213772000,72.0,2016-07-21T15:05:12Z
55.731344000,13.213766000,72.0,2016-07-21T15:05:15Z
55.731433000,13.213762000,72.0,2016-07-21T15:05:18Z
55.731527000,13.213768000,72.0,2016-07-21T15:05:21Z
55.731620000,13.213746000,71.8,2016-07-21T15:05:25Z
55.731720000,13.213768000,71.6,2016-07-21T15:05:28Z
55.731837000,13.213780000,71.5,2016-07-21T15:05:33Z
55.731938000,13.213793000,71.3,2016-07-21T15:05:36Z
55.732021000,13.213788000,71.1,2016-07-21T15:05:39Z
55.732124000,13.213802000,70.9,2016-07-21T15:05:43Z
55.732215000,13.213819000,70.7,2016-07-21T15:05:48Z
55.732302000,13.213807000,70.5,2016-07-21T15:05:55Z
55.732385000,13.213809000,70.4,2016-07-21T15:06:05Z
55.732475000,13.213836000,70.2,2016-07-21T15:06:10Z
55.732558000,13.213859000,69.8,2016-07-21T15:06:14Z
55.732663000,13.213873000,69.6,2016-07-21T15:06:17Z
55.732751000,13.213899000,69.5,2016-07-21T15:06:20Z
55.732826000,13.213956000,69.3,2016-07-21T15:06:25Z
55.732921000,13.213927000,69.1,2016-07-21T15:06:37Z
55.733005000,13.213942000,68.9,2016-07-21T15:06:40Z
55.733089000,13.213923000,68.7,2016-07-21T15:06:43Z
55.733187000,13.213928000,68.5,2016-07-21T15:06:46Z
55.733301000,13.213943000,68.4,2016-07-21T15:06:50Z
55.733381000,13.213979000,68.0,2016-07-21T15:06:52Z
55.733481000,13.213996000,67.6,2016-07-21T15:06:55Z
55.733595000,13.214000000,67.5,2016-07-21T15:06:58Z
55.733690000,13.214023000,67.3,2016-07-21T15:07:01Z
55.733795000,13.214015000,67.1,2016-07-21T15:07:04Z
55.733888000,13.214016000,66.9,2016-07-21T15:07:07Z
55.733991000,13.214023000,66.7,2016-07-21T15:07:21Z
55.734100000,13.214041000,66.5,2016-07-21T15:07:25Z
55.734189000,13.214044000,66.4,2016-07-21T15:07:28Z
55.734276000,13.214039000,65.9,2016-07-21T15:07:31Z
55.734362000,13.214065000,65.5,2016-07-21T15:07:34Z
55.734445000,13.214097000,65.2,2016-07-21T15:07:36Z
55.734542000,13.214113000,64.9,2016-07-21T15:07:39Z
55.734627000,13.214125000,64.6,2016-07-21T15:07:46Z
55.734714000,13.214144000,64.4,2016-07-21T15:07:54Z
55.734810000,13.214152000,64.1,2016-07-21T15:08:05Z
55.734917000,13.214167000,63.8,2016-07-21T15:08:08Z
55.735011000,13.214169000,63.5,2016-07-21T15:08:11Z
55.735094000,13.214160000,63.1,2016-07-21T15:08:13Z
55.735208000,13.214190000,62.7,2016-07-21T15:08:16Z
55.735311000,13.214226000,62.6,2016-07-21T15:08:20Z
55.735405000,13.214241000,62.5,2016-07-21T15:08:23Z
55.735505000,13.214211000,62.5,2016-07-21T15:08:27Z
55.735601000,13.214201000,62.4,2016-07-21T15:08:31Z
55.735690000,13.214248000,62.2,2016-07-21T15:08:33Z
55.735778000,13.214263000,62.0,2016-07-21T15:08:36Z
55.735867000,13.214275000,61.8,2016-07-21T15:08:39Z
55.735975000,13.214271000,61.6,2016-07-21T15:08:43Z
55.736089000,13.214304000,61.5,2016-07-21T15:08:48Z
55.736898000,13.214396000,61.5,2016-07-21T15:09:12Z
55.736995000,13.214389000,61.4,2016-07-21T15:09:16Z
55.737111000,13.214403000,61.3,2016-07-21T15:09:20Z
55.737222000,13.214440000,61.2,2016-07-21T15:09:24Z
55.737315000,13.214443000,61.1,2016-07-21T15:09:28Z
55.737424000,13.214448000,61.0,2016-07-21T15:09:31Z
55.737516000,13.214468000,61.0,2016-07-21T15:09:35Z
55.737607000,13.214468000,61.0,2016-07-21T15:09:39Z
55.737702000,13.214425000,61.0,2016-07-21T15:09:44Z
55.737743000,13.214288000,61.0,2016-07-21T15:09:47Z
55.737769000,13.214124000,61.0,2016-07-21T15:09:51Z
55.737747000,13.213955000,61.0,2016-07-21T15:09:56Z
55.737767000,13.213806000,61.0,2016-07-21T15:10:10Z
55.737784000,13.213609000,60.9,2016-07-21T15:10:13Z
55.737782000,13.213437000,60.8,2016-07-21T15:10:16Z
55.737790000,13.213283000,60.7,2016-07-21T15:10:19Z
55.737776000,13.213139000,60.6,2016-07-21T15:10:22Z
55.737768000,13.212985000,60.5,2016-07-21T15:10:25Z
55.737773000,13.212816000,60.5,2016-07-21T15:10:28Z
55.737767000,13.212651000,60.4,2016-07-21T15:10:31Z
55.737762000,13.212491000,60.3,2016-07-21T15:10:34Z
55.737770000,13.212311000,60.2,2016-07-21T15:10:37Z
55.737780000,13.212162000,60.1,2016-07-21T15:10:40Z
55.737800000,13.212002000,60.0,2016-07-21T15:10:43Z
55.737806000,13.211833000,60.0,2016-07-21T15:10:46Z
55.737844000,13.211682000,60.0,2016-07-21T15:10:50Z
55.737861000,13.211523000,60.0,2016-07-21T15:10:53Z
55.737863000,13.211352000,60.0,2016-07-21T15:10:57Z
55.737883000,13.211198000,60.0,2016-07-21T15:11:00Z
55.737913000,13.211046000,59.9,2016-07-21T15:11:03Z
55.737908000,13.210846000,59.8,2016-07-21T15:11:06Z
55.737892000,13.210684000,59.7,2016-07-21T15:11:10Z
55.737890000,13.210518000,59.6,2016-07-21T15:11:13Z
55.737921000,13.210340000,59.6,2016-07-21T15:11:17Z
55.737949000,13.210158000,59.6,2016-07-21T15:11:21Z
55.737969000,13.209997000,59.6,2016-07-21T15:11:24Z
55.737986000,13.209819000,59.6,2016-07-21T15:11:28Z
55.738018000,13.209666000,59.6,2016-07-21T15:11:31Z
55.738079000,13.209531000,59.6,2016-07-21T15:11:35Z
55.738140000,13.209417000,59.6,2016-07-21T15:11:38Z
55.738213000,13.209300000,59.7,2016-07-21T15:11:41Z
55.738308000,13.209222000,59.8,2016-07-21T15:11:45Z
